Surface No.;Grid;Grid Point Coordinates [m];;;;Moments [kNm/m];;;;Shear Forces [kN/m];;Axial Forces [kN/m];;;;
;Point No.;X;Y;Z;;m_1;m_2;α_b [deg];m_T,max,b;v_max,b;β_b [deg];n_1;n_2;α_m [deg];v_max,m;Surface Comment
1;179;11.500;2.500;-3.600;;17.352;-46.795;87.56;32.074;2.400;3.42;75.415;13.301;3.61;31.057;
1;180;12.000;2.500;-3.600;;18.276;-54.680;87.20;36.478;18.681;-77.21;71.780;10.373;3.52;30.703;
1;181;12.500;2.500;-3.600;;18.406;-51.828;-88.71;35.117;28.443;-41.86;64.939;7.131;8.87;28.904;
1;182;13.000;2.500;-3.600;;17.527;-34.535;-84.57;26.031;31.421;-21.01;56.695;8.662;18.51;24.017;
1;183;13.500;2.500;-3.600;;15.838;-13.827;-79.31;14.833;29.671;-5.96;47.481;9.472;35.24;19.005;
1;184;14.000;2.500;-3.600;;14.621;3.696;-68.79;5.463;21.891;8.58;39.879;2.767;53.43;18.556;
1;185;14.500;2.500;-3.600;;14.879;13.708;-9.03;0.586;14.194;44.94;14.641;-3.776;58.65;9.208;
1;186;15.000;2.500;-3.600;;17.803;13.766;35.87;2.019;9.602;-100.38;-14.043;-46.477;-6.96;16.217;
1;187;0.000;3.000;-3.600;;28.407;3.718;-37.19;12.345;32.102;-98.76;-21.498;-42.613;1.22;10.558;
1;188;0.500;3.000;-3.600;;24.080;1.334;-40.99;11.373;18.953;137.73;51.600;-4.536;-57.42;28.068;
1;189;1.000;3.000;-3.600;;14.501;-0.588;-54.00;7.544;21.872;165.36;61.433;8.983;-42.73;26.225;
1;190;1.500;3.000;-3.600;;10.739;-11.176;-79.27;10.958;26.053;176.26;67.358;8.574;-19.95;29.392;
1;191;2.000;3.000;-3.600;;11.147;-28.241;-86.63;19.694;30.156;-154.51;76.029;-2.505;-11.92;39.267;
1;192;2.500;3.000;-3.600;;11.280;-43.751;-84.23;27.516;38.293;-117.72;79.605;-1.993;-8.94;40.799;
1;193;3.000;3.000;-3.600;;14.547;-39.284;-77.03;26.916;44.446;-84.59;78.275;15.085;-9.06;31.595;
1;194;3.500;3.000;-3.600;;14.131;-22.091;-84.25;18.111;16.418;106.22;82.855;15.053;-12.82;33.901;
1;195;4.000;3.000;-3.600;;12.246;-28.137;86.36;20.192;17.592;169.50;86.761;7.361;-9.50;39.700;
1;196;4.500;3.000;-3.600;;12.445;-41.883;82.50;27.164;26.667;-172.67;90.170;3.975;-6.51;43.098;
1;197;5.000;3.000;-3.600;;12.118;-59.376;82.89;35.747;32.979;-160.75;91.824;1.899;-4.04;44.963;
1;198;5.500;3.000;-3.600;;10.977;-76.768;86.09;43.872;38.973;-132.00;92.821;1.850;-1.76;45.485;
1;199;6.000;3.000;-3.600;;10.447;-82.706;-89.05;46.577;49.635;-89.46;93.046;9.612;-0.55;41.717;
1;200;6.500;3.000;-3.600;;11.784;-67.710;-88.43;39.747;12.595;-25.21;95.219;10.007;-3.07;42.606;
1;201;7.000;3.000;-3.600;;10.712;-61.839;-89.52;36.275;6.593;-33.42;97.693;5.779;-2.15;45.957;
1;202;7.500;3.000;-3.600;;10.527;-60.835;88.30;35.681;4.756;-125.88;99.154;4.822;-0.62;47.166;
1;203;8.000;3.000;-3.600;;10.646;-65.057;86.49;37.851;11.790;-157.00;97.787;5.426;0.92;46.181;
1;204;8.500;3.000;-3.600;;11.315;-73.543;86.25;42.429;17.722;-150.95;95.492;9.002;1.88;43.245;
1;205;9.000;3.000;-3.600;;9.685;-87.996;87.60;48.840;51.870;-91.84;93.526;9.126;0.01;42.200;
1;206;9.500;3.000;-3.600;;10.163;-81.152;-88.80;45.658;33.447;-47.62;93.257;2.460;1.00;45.399;
1;207;10.000;3.000;-3.600;;10.811;-66.318;-86.90;38.565;27.272;-21.65;92.243;2.228;2.98;45.007;
1;208;10.500;3.000;-3.600;;11.242;-52.706;-87.74;31.974;19.991;-12.96;90.293;4.079;5.04;43.107;
1;209;11.000;3.000;-3.600;;11.873;-44.150;88.96;28.012;9.515;0.50;85.950;7.404;7.30;39.273;
1;210;11.500;3.000;-3.600;;14.489;-43.420;84.76;28.954;7.777;108.91;80.784;14.650;8.88;33.067;
1;211;12.000;3.000;-3.600;;13.047;-63.762;83.55;38.405;48.030;-92.97;76.511;9.640;5.11;33.435;
1;212;12.500;3.000;-3.600;;10.898;-62.710;-86.80;36.804;55.212;-55.05;76.441;-3.615;12.67;40.028;
1;213;13.000;3.000;-3.600;;13.305;-40.080;-78.69;26.692;46.533;-21.54;76.336;-2.524;21.33;39.430;
