Surface No.;Grid;Grid Point Coordinates [m];;;;Moments [kNm/m];;;Shear Forces [kN/m];;Axial Forces [kN/m];;;
;Point No.;X;Y;Z;;m_x;m_y;m_xy;v_x;v_y;n_x;n_y;n_xy;Surface Comment
1;222;2.000;3.500;-3.600;;-28.157;5.061;0.297;-44.103;-6.901;88.158;1.309;-17.930;
1;223;2.500;3.500;-3.600;;-56.731;1.525;-2.687;-51.830;-37.830;87.922;-2.128;-16.289;
1;224;3.000;3.500;-3.600;;-41.619;0.426;-21.921;-21.669;-78.483;88.476;21.601;-16.453;
1;225;3.500;3.500;-3.600;;-7.230;9.397;-3.433;-16.398;31.603;95.223;11.071;-21.316;
1;226;4.000;3.500;-3.600;;-22.308;7.065;3.246;-25.952;-3.131;100.586;5.226;-15.328;
1;227;4.500;3.500;-3.600;;-38.505;6.385;7.968;-27.291;-5.287;94.672;2.233;-9.020;
1;228;5.000;3.500;-3.600;;-58.632;5.645;9.341;-39.376;-7.536;91.041;0.733;-6.960;
1;229;5.500;3.500;-3.600;;-86.141;2.236;7.194;-53.910;-22.629;92.325;-0.335;-5.773;
1;230;6.000;3.500;-3.600;;-98.247;-2.151;-6.363;-13.246;-97.660;94.889;12.113;-6.438;
1;231;6.500;3.500;-3.600;;-64.109;5.674;-3.178;18.742;9.914;101.337;6.233;-9.194;
1;232;7.000;3.500;-3.600;;-59.008;5.532;-1.008;4.924;-5.124;106.267;3.220;-5.464;
1;233;7.500;3.500;-3.600;;-58.712;5.592;1.964;-2.184;-5.198;105.180;2.254;-0.818;
1;234;8.000;3.500;-3.600;;-62.445;5.276;4.637;-10.204;-5.315;105.292;2.905;3.522;
1;235;8.500;3.500;-3.600;;-71.591;4.750;6.009;-25.466;6.463;100.704;5.384;6.920;
1;236;9.000;3.500;-3.600;;-102.491;-3.252;7.439;6.819;-99.801;95.028;11.320;4.649;
1;237;9.500;3.500;-3.600;;-88.626;2.119;-3.338;47.732;-16.818;93.109;0.204;4.037;
1;238;10.000;3.500;-3.600;;-65.836;5.062;-4.823;33.109;-7.079;92.106;0.903;5.409;
1;239;10.500;3.500;-3.600;;-50.528;5.908;-3.365;21.189;-5.690;94.752;2.184;7.667;
1;240;11.000;3.500;-3.600;;-39.553;6.490;0.779;17.107;-4.507;98.735;4.960;13.912;
1;241;11.500;3.500;-3.600;;-32.088;9.476;5.609;3.549;28.133;90.148;10.748;19.526;
1;242;12.000;3.500;-3.600;;-80.002;-0.579;19.958;26.907;-95.776;79.536;10.465;18.184;
1;243;12.500;3.500;-3.600;;-81.068;0.532;-6.620;72.759;-45.551;75.258;-3.246;24.280;
1;244;13.000;3.500;-3.600;;-41.664;6.257;-12.095;58.461;-9.829;74.884;2.852;28.334;
1;245;13.500;3.500;-3.600;;-10.940;6.591;-12.783;40.633;-6.119;89.113;8.161;36.217;
1;246;14.000;3.500;-3.600;;15.273;6.282;-9.018;39.657;-2.578;102.880;15.055;56.502;
