Surface No.;Grid;Grid Point Coordinates [m];;;;Moments [kNm/m];;;Shear Forces [kN/m];;Axial Forces [kN/m];;;
;Point No.;X;Y;Z;;m_x;m_y;m_xy;v_x;v_y;n_x;n_y;n_xy;Surface Comment
1;81;9.000;1.000;-3.600;max;0.030;0.004;0.009;0.012;0.002;0.017;0.003;0.003;
1;81;9.000;1.000;-3.600;min;-0.030;-0.004;-0.009;-0.012;-0.002;-0.017;-0.003;-0.003;
1;82;9.500;1.000;-3.600;max;0.029;0.002;0.005;0.005;0.019;0.018;0.009;0.008;
1;82;9.500;1.000;-3.600;min;-0.029;-0.002;-0.005;-0.005;-0.019;-0.018;-0.009;-0.008;
1;83;10.000;1.000;-3.600;max;0.027;0.001;0.003;0.009;0.007;0.019;0.005;0.011;
1;83;10.000;1.000;-3.600;min;-0.027;-0.001;-0.003;-0.009;-0.007;-0.019;-0.005;-0.011;
1;84;10.500;1.000;-3.600;max;0.024;0.001;0.004;0.011;0.003;0.022;0.004;0.012;
1;84;10.500;1.000;-3.600;min;-0.024;-0.001;-0.004;-0.011;-0.003;-0.022;-0.004;-0.012;
1;85;11.000;1.000;-3.600;max;0.022;0.001;0.004;0.010;0.007;0.023;0.006;0.013;
1;85;11.000;1.000;-3.600;min;-0.022;-0.001;-0.004;-0.010;-0.007;-0.023;-0.006;-0.013;
1;86;11.500;1.000;-3.600;max;0.019;0.001;0.007;0.008;0.019;0.025;0.009;0.012;
1;86;11.500;1.000;-3.600;min;-0.019;-0.001;-0.007;-0.008;-0.019;-0.025;-0.009;-0.012;
1;87;12.000;1.000;-3.600;max;0.019;0.004;0.011;0.014;0.005;0.026;0.005;0.007;
1;87;12.000;1.000;-3.600;min;-0.019;-0.004;-0.011;-0.014;-0.005;-0.026;-0.005;-0.007;
1;88;12.500;1.000;-3.600;max;0.024;0.003;0.008;0.008;0.017;0.027;0.012;0.009;
1;88;12.500;1.000;-3.600;min;-0.024;-0.003;-0.008;-0.008;-0.017;-0.027;-0.012;-0.009;
1;89;13.000;1.000;-3.600;max;0.025;0.002;0.004;0.008;0.007;0.028;0.010;0.010;
1;89;13.000;1.000;-3.600;min;-0.025;-0.002;-0.004;-0.008;-0.007;-0.028;-0.010;-0.010;
1;90;13.500;1.000;-3.600;max;0.024;0.002;0.003;0.007;0.004;0.026;0.011;0.011;
1;90;13.500;1.000;-3.600;min;-0.024;-0.002;-0.003;-0.007;-0.004;-0.026;-0.011;-0.011;
1;91;14.000;1.000;-3.600;max;0.025;0.002;0.004;0.005;0.005;0.017;0.012;0.012;
1;91;14.000;1.000;-3.600;min;-0.025;-0.002;-0.004;-0.005;-0.005;-0.017;-0.012;-0.012;
1;92;14.500;1.000;-3.600;max;0.023;0.002;0.007;0.006;0.015;0.007;0.014;0.009;
1;92;14.500;1.000;-3.600;min;-0.023;-0.002;-0.007;-0.006;-0.015;-0.007;-0.014;-0.009;
1;93;15.000;1.000;-3.600;max;0.017;0.004;0.009;0.012;0.017;0.009;0.017;0.008;
1;93;15.000;1.000;-3.600;min;-0.017;-0.004;-0.009;-0.012;-0.017;-0.009;-0.017;-0.008;
1;94;0.000;1.500;-3.600;max;0.003;0.002;0.012;0.004;0.005;0.007;0.014;0.020;
1;94;0.000;1.500;-3.600;min;-0.003;-0.002;-0.012;-0.004;-0.005;-0.007;-0.014;-0.020;
1;95;0.500;1.500;-3.600;max;0.003;0.004;0.013;0.003;0.012;0.003;0.013;0.025;
1;95;0.500;1.500;-3.600;min;-0.003;-0.004;-0.013;-0.003;-0.012;-0.003;-0.013;-0.025;
1;96;1.000;1.500;-3.600;max;0.002;0.005;0.009;0.009;0.046;0.003;0.029;0.020;
1;96;1.000;1.500;-3.600;min;-0.002;-0.005;-0.009;-0.009;-0.046;-0.003;-0.029;-0.020;
1;98;2.000;1.500;-3.600;max;0.005;0.006;0.009;0.026;0.020;0.007;0.006;0.018;
1;98;2.000;1.500;-3.600;min;-0.005;-0.006;-0.009;-0.026;-0.020;-0.007;-0.006;-0.018;
1;99;2.500;1.500;-3.600;max;0.017;0.003;0.007;0.017;0.018;0.009;0.002;0.028;
1;99;2.500;1.500;-3.600;min;-0.017;-0.003;-0.007;-0.017;-0.018;-0.009;-0.002;-0.028;
