Surface No.;Grid;Grid Point Coordinates [m];;;;Principal Stresses [N/mm^2 ];;;;;;;;;;
;Point No.;X;Y;Z;;σ_1,+;σ_2,+;α_+ [deg];σ_1,-;σ_2,-;α_- [deg];σ_1,m;σ_2,m;α_m [deg];τ_max;Surface Comment
1;76;6.500;1.000;-3.600;max;0.001;0.000;77.60;0.001;0.000;74.29;0.000;0.000;68.98;0.000;
1;76;6.500;1.000;-3.600;min;0.000;-0.001;-75.98;0.000;-0.001;-76.26;0.000;0.000;-68.98;0.000;
1;77;7.000;1.000;-3.600;max;0.001;0.000;80.88;0.001;0.000;78.74;0.000;0.000;66.33;0.000;
1;77;7.000;1.000;-3.600;min;0.000;-0.001;-79.78;0.000;-0.001;-80.05;0.000;0.000;-66.33;0.000;
1;78;7.500;1.000;-3.600;max;0.001;0.000;82.96;0.001;0.000;81.65;0.000;0.000;66.30;0.000;
1;78;7.500;1.000;-3.600;min;0.000;-0.001;-82.20;0.000;-0.001;-82.52;0.000;0.000;-66.30;0.000;
1;79;8.000;1.000;-3.600;max;0.001;0.000;86.02;0.001;0.000;85.27;0.000;0.000;68.05;0.000;
1;79;8.000;1.000;-3.600;min;0.000;-0.001;-85.64;0.000;-0.001;-85.71;0.000;0.000;-68.05;0.000;
1;80;8.500;1.000;-3.600;max;0.001;0.000;83.22;0.001;0.000;81.50;0.000;0.000;73.81;0.000;
1;80;8.500;1.000;-3.600;min;0.000;-0.001;-82.65;0.000;-0.001;-82.25;0.000;0.000;-73.81;0.000;
1;81;9.000;1.000;-3.600;max;0.001;0.000;77.06;0.001;0.000;76.41;0.000;0.000;81.89;0.000;
1;81;9.000;1.000;-3.600;min;0.000;-0.001;-76.08;0.000;-0.001;-76.59;0.000;0.000;-81.89;0.000;
1;82;9.500;1.000;-3.600;max;0.001;0.000;82.62;0.001;0.000;80.59;0.000;0.000;73.92;0.000;
1;82;9.500;1.000;-3.600;min;0.000;-0.001;-81.91;0.000;-0.001;-81.54;0.000;0.000;-73.92;0.000;
1;83;10.000;1.000;-3.600;max;0.001;0.000;86.78;0.001;0.000;86.11;0.000;0.000;68.91;0.000;
1;83;10.000;1.000;-3.600;min;0.000;-0.001;-86.39;0.000;-0.001;-86.56;0.000;0.000;-68.91;0.000;
1;84;10.500;1.000;-3.600;max;0.001;0.000;84.49;0.001;0.000;83.33;0.000;0.000;68.22;0.000;
1;84;10.500;1.000;-3.600;min;0.000;-0.001;-83.65;0.000;-0.001;-84.25;0.000;0.000;-68.22;0.000;
1;85;11.000;1.000;-3.600;max;0.001;0.000;82.18;0.001;0.000;80.05;0.000;0.000;69.33;0.000;
1;85;11.000;1.000;-3.600;min;0.000;-0.001;-80.77;0.000;-0.001;-81.66;0.000;0.000;-69.33;0.000;
1;86;11.500;1.000;-3.600;max;0.001;0.000;75.64;0.001;0.000;72.01;0.000;0.000;72.75;0.000;
1;86;11.500;1.000;-3.600;min;0.000;-0.001;-72.96;0.000;-0.001;-74.31;0.000;0.000;-72.75;0.000;
1;87;12.000;1.000;-3.600;max;0.001;0.000;70.04;0.001;0.000;68.51;0.000;0.000;78.00;0.000;
1;87;12.000;1.000;-3.600;min;0.000;-0.001;-67.15;0.000;-0.001;-68.97;0.000;0.000;-78.00;0.000;
1;88;12.500;1.000;-3.600;max;0.001;0.000;77.36;0.001;0.000;74.98;0.000;0.000;77.31;0.000;
1;88;12.500;1.000;-3.600;min;0.000;-0.001;-75.39;0.000;-0.001;-75.78;0.000;0.000;-77.31;0.000;
1;89;13.000;1.000;-3.600;max;0.001;0.000;83.32;0.001;0.000;80.31;0.000;0.000;76.26;0.000;
1;89;13.000;1.000;-3.600;min;0.000;-0.001;-82.09;0.000;-0.001;-82.09;0.000;0.000;-76.26;0.000;
