Surface No.;Grid;Grid Point Coordinates [m];;;;Axial stresses [N/mm^2 ];;;;Shear stresses [N/mm^2 ];;;;
;Point No.;X;Y;Z;;σ_x,+;σ_y,+;σ_x,-;σ_y,-;τ_xy,+;τ_xy,-;τ_xz;τ_yz;Surface Comment
1;226;4.000;3.500;-3.600;;-0.334;0.180;0.737;-0.159;0.047;-0.109;-0.078;-0.009;
1;227;4.500;3.500;-3.600;;-0.735;0.158;1.113;-0.149;0.173;-0.209;-0.082;-0.016;
1;228;5.000;3.500;-3.600;;-1.225;0.137;1.589;-0.134;0.210;-0.238;-0.118;-0.023;
1;229;5.500;3.500;-3.600;;-1.883;0.053;2.252;-0.054;0.161;-0.184;-0.162;-0.068;
1;230;6.000;3.500;-3.600;;-2.168;-0.027;2.548;0.076;-0.166;0.140;-0.040;-0.293;
1;231;6.500;3.500;-3.600;;-1.336;0.149;1.741;-0.124;-0.095;0.058;0.056;0.030;
1;232;7.000;3.500;-3.600;;-1.204;0.139;1.629;-0.126;-0.035;0.013;0.015;-0.015;
1;233;7.500;3.500;-3.600;;-1.199;0.139;1.619;-0.130;0.046;-0.049;-0.007;-0.016;
1;234;8.000;3.500;-3.600;;-1.288;0.132;1.709;-0.121;0.118;-0.104;-0.031;-0.016;
1;235;8.500;3.500;-3.600;;-1.517;0.125;1.920;-0.103;0.158;-0.130;-0.076;0.019;
1;236;9.000;3.500;-3.600;;-2.270;-0.055;2.650;0.101;0.188;-0.169;0.020;-0.299;
1;237;9.500;3.500;-3.600;;-1.941;0.051;2.313;-0.050;-0.072;0.088;0.143;-0.050;
1;238;10.000;3.500;-3.600;;-1.396;0.123;1.764;-0.120;-0.105;0.127;0.099;-0.021;
1;239;10.500;3.500;-3.600;;-1.023;0.146;1.402;-0.137;-0.065;0.096;0.064;-0.017;
1;240;11.000;3.500;-3.600;;-0.752;0.166;1.147;-0.146;0.047;0.009;0.051;-0.014;
