Surface No.;Grid;Grid Point Coordinates [m];;;;Principal Stresses [N/mm^2 ];;;;;;;;;;
;Point No.;X;Y;Z;;σ_1,+;σ_2,+;α_+ [deg];σ_1,-;σ_2,-;α_- [deg];σ_1,m;σ_2,m;α_m [deg];τ_max;Surface Comment
1;159;1.500;2.500;-3.600;;0.236;0.172;2.89;-0.175;-0.253;89.11;-0.001;-0.009;74.61;0.023;
1;160;2.000;2.500;-3.600;;0.290;0.211;-27.05;-0.210;-0.312;68.25;0.002;-0.012;84.09;0.022;
1;161;2.500;2.500;-3.600;;0.288;0.246;-66.20;-0.259;-0.299;45.77;0.002;-0.013;80.98;0.004;
1;162;3.000;2.500;-3.600;;0.293;0.177;82.21;-0.203;-0.299;-6.33;-0.003;-0.013;78.27;0.033;
1;163;3.500;2.500;-3.600;;0.303;0.212;-89.21;-0.240;-0.314;4.38;-0.005;-0.015;76.29;0.026;
1;164;4.000;2.500;-3.600;;0.317;0.292;-42.94;-0.304;-0.346;62.79;-0.004;-0.017;78.36;0.023;
1;165;4.500;2.500;-3.600;;0.384;0.301;-1.77;-0.307;-0.421;86.77;-0.003;-0.019;82.91;0.015;
1;166;5.000;2.500;-3.600;;0.414;0.305;7.25;-0.310;-0.453;-85.51;-0.002;-0.020;86.09;0.010;
1;167;5.500;2.500;-3.600;;0.397;0.311;12.56;-0.318;-0.438;-81.54;-0.002;-0.021;88.86;0.011;
1;168;6.000;2.500;-3.600;;0.341;0.304;21.70;-0.317;-0.379;-77.65;-0.004;-0.021;89.62;0.030;
1;169;6.500;2.500;-3.600;;0.363;0.319;-1.95;-0.328;-0.407;88.08;-0.004;-0.022;88.11;0.020;
1;170;7.000;2.500;-3.600;;0.420;0.315;-4.60;-0.322;-0.465;86.27;-0.004;-0.023;88.69;0.015;
1;171;7.500;2.500;-3.600;;0.451;0.311;1.16;-0.317;-0.497;-89.05;-0.003;-0.023;-89.77;0.010;
1;172;8.000;2.500;-3.600;;0.436;0.313;7.20;-0.320;-0.481;-84.10;-0.004;-0.023;-88.27;0.013;
1;173;8.500;2.500;-3.600;;0.387;0.318;9.40;-0.327;-0.432;-83.03;-0.004;-0.022;-87.70;0.018;
1;174;9.000;2.500;-3.600;;0.344;0.314;-3.26;-0.324;-0.386;89.25;-0.004;-0.022;-89.19;0.030;
