Surface No.;Grid;Grid Point Coordinates [m];;;;Principal Total Strains [‰];;;;;;
;Point No.;X;Y;Z;;ε_1,+;ε_2,+;α_+ [deg];ε_1,-;ε_2,-;α_- [deg];Surface Comment
1;142;8.500;2.000;-3.600;max;0.00;0.00;89.75;0.00;0.00;90.00;
1;142;8.500;2.000;-3.600;min;0.00;0.00;-89.96;0.00;0.00;-69.29;
1;143;9.000;2.000;-3.600;max;0.00;0.00;89.72;0.00;0.00;89.67;
1;143;9.000;2.000;-3.600;min;0.00;0.00;-89.68;0.00;0.00;-89.68;
1;144;9.500;2.000;-3.600;max;0.00;0.00;89.70;0.00;0.00;89.82;
1;144;9.500;2.000;-3.600;min;0.00;0.00;-89.09;0.00;0.00;-89.80;
1;145;10.000;2.000;-3.600;max;0.00;0.00;89.56;0.00;0.00;87.54;
1;145;10.000;2.000;-3.600;min;0.00;0.00;-88.30;0.00;0.00;-88.30;
1;146;10.500;2.000;-3.600;max;0.00;0.00;7.94;0.00;0.00;66.97;
1;146;10.500;2.000;-3.600;min;0.00;0.00;-86.88;0.00;0.00;-85.04;
1;147;11.000;2.000;-3.600;max;0.00;0.00;14.71;0.00;0.00;89.40;
1;147;11.000;2.000;-3.600;min;0.00;0.00;-83.57;0.00;0.00;-80.08;
1;148;11.500;2.000;-3.600;max;0.00;0.00;27.17;0.00;0.00;25.45;
1;148;11.500;2.000;-3.600;min;0.00;0.00;-72.22;0.00;0.00;-76.76;
1;149;12.000;2.000;-3.600;max;0.00;0.00;64.47;0.00;0.00;64.95;
1;149;12.000;2.000;-3.600;min;0.00;0.00;-88.60;0.00;0.00;-89.21;
