Surface No.;Grid;Grid Point Coordinates [m];;;;Equivalent Total Strains - Rankine [‰];;;
;Point No.;X;Y;Z;;ε_eqv,Rankine,+;ε_eqv,Rankine,-;ε_eqv,Rankine;Surface Comment
1;176;10.000;2.500;-3.600;min;0.00;0.00;0.00;
1;177;10.500;2.500;-3.600;max;0.00;0.00;0.00;
1;177;10.500;2.500;-3.600;min;0.00;0.00;0.00;
1;178;11.000;2.500;-3.600;max;0.00;0.00;0.00;
1;178;11.000;2.500;-3.600;min;0.00;0.00;0.00;
1;179;11.500;2.500;-3.600;max;0.00;0.00;0.00;
1;179;11.500;2.500;-3.600;min;0.00;0.00;0.00;
1;180;12.000;2.500;-3.600;max;0.00;0.00;0.00;
1;180;12.000;2.500;-3.600;min;0.00;0.00;0.00;
1;181;12.500;2.500;-3.600;max;0.00;0.00;0.00;
1;181;12.500;2.500;-3.600;min;0.00;0.00;0.00;
1;182;13.000;2.500;-3.600;max;0.00;0.00;0.00;
1;182;13.000;2.500;-3.600;min;0.00;0.00;0.00;
1;183;13.500;2.500;-3.600;max;0.00;0.00;0.00;
1;183;13.500;2.500;-3.600;min;0.00;0.00;0.00;
1;184;14.000;2.500;-3.600;max;0.00;0.00;0.00;
1;184;14.000;2.500;-3.600;min;0.00;0.00;0.00;
1;185;14.500;2.500;-3.600;max;0.00;0.00;0.00;
1;185;14.500;2.500;-3.600;min;0.00;0.00;0.00;
1;186;15.000;2.500;-3.600;max;0.00;0.00;0.00;
1;186;15.000;2.500;-3.600;min;0.00;0.00;0.00;
1;187;0.000;3.000;-3.600;max;0.00;0.00;0.00;
1;187;0.000;3.000;-3.600;min;0.00;0.00;0.00;
1;188;0.500;3.000;-3.600;max;0.00;0.00;0.00;
1;188;0.500;3.000;-3.600;min;0.00;0.00;0.00;
1;189;1.000;3.000;-3.600;max;0.00;0.00;0.00;
1;189;1.000;3.000;-3.600;min;0.00;0.00;0.00;
1;190;1.500;3.000;-3.600;max;0.00;0.00;0.00;
1;190;1.500;3.000;-3.600;min;0.00;0.00;0.00;
1;191;2.000;3.000;-3.600;max;0.00;0.00;0.00;
1;191;2.000;3.000;-3.600;min;0.00;0.00;0.00;
1;192;2.500;3.000;-3.600;max;0.00;0.00;0.00;
1;192;2.500;3.000;-3.600;min;0.00;0.00;0.00;
1;193;3.000;3.000;-3.600;max;0.00;0.00;0.00;
1;193;3.000;3.000;-3.600;min;0.00;0.00;0.00;
1;194;3.500;3.000;-3.600;max;0.00;0.00;0.00;
1;194;3.500;3.000;-3.600;min;0.00;0.00;0.00;
1;195;4.000;3.000;-3.600;max;0.00;0.00;0.00;
1;195;4.000;3.000;-3.600;min;0.00;0.00;0.00;
1;196;4.500;3.000;-3.600;max;0.00;0.00;0.00;
1;196;4.500;3.000;-3.600;min;0.00;0.00;0.00;
1;197;5.000;3.000;-3.600;max;0.00;0.00;0.00;
1;197;5.000;3.000;-3.600;min;0.00;0.00;0.00;
1;198;5.500;3.000;-3.600;max;0.00;0.00;0.00;
1;198;5.500;3.000;-3.600;min;0.00;0.00;0.00;
1;199;6.000;3.000;-3.600;max;0.00;0.00;0.00;
1;199;6.000;3.000;-3.600;min;0.00;0.00;0.00;
1;200;6.500;3.000;-3.600;max;0.00;0.00;0.00;
1;200;6.500;3.000;-3.600;min;0.00;0.00;0.00;
1;201;7.000;3.000;-3.600;max;0.00;0.00;0.00;
1;201;7.000;3.000;-3.600;min;0.00;0.00;0.00;
1;202;7.500;3.000;-3.600;max;0.00;0.00;0.00;
1;202;7.500;3.000;-3.600;min;0.00;0.00;0.00;
