Surface No.;Grid;Grid Point Coordinates [m];;;;Equivalent Stresses - von Mises [N/mm^2 ];;;;
;Point No.;X;Y;Z;;σ_eqv,Mises,Max;σ_eqv,Mises,+;σ_eqv,Mises,-;σ_eqv,Mises,m;Surface Comment
1;262;6.500;4.000;-3.600;;0.247;0.187;0.247;0.034;
1;263;7.000;4.000;-3.600;;0.518;0.465;0.518;0.027;
1;264;7.500;4.000;-3.600;;0.575;0.524;0.575;0.026;
1;265;8.000;4.000;-3.600;;0.543;0.490;0.543;0.027;
1;266;8.500;4.000;-3.600;;0.320;0.257;0.320;0.034;
1;267;9.000;4.000;-3.600;;0.281;0.281;0.228;0.028;
1;268;9.500;4.000;-3.600;;0.404;0.380;0.404;0.014;
1;269;10.000;4.000;-3.600;;0.535;0.500;0.535;0.017;
1;270;10.500;4.000;-3.600;;0.525;0.482;0.525;0.022;
1;271;11.000;4.000;-3.600;;0.432;0.378;0.432;0.028;
1;272;11.500;4.000;-3.600;;0.153;0.145;0.153;0.046;
1;273;12.000;4.000;-3.600;;0.574;0.574;0.467;0.059;
1;274;12.500;4.000;-3.600;;0.435;0.435;0.409;0.014;
1;275;13.000;4.000;-3.600;;0.401;0.394;0.401;0.004;
1;276;13.500;4.000;-3.600;;0.323;0.296;0.323;0.014;
1;277;14.000;4.000;-3.600;;0.179;0.148;0.179;0.026;
1;278;14.500;4.000;-3.600;;0.485;0.485;0.394;0.051;
1;279;15.000;4.000;-3.600;;1.409;1.409;1.230;0.091;
Extremes;1;0.000;0.000;-3.600;σ_eqv,Mises,Max;1.548;1.548;1.380;0.085;
1;3;1.000;0.000;-3.600;σ_eqv,Mises,Max;0.103;0.097;0.103;0.028;
1;1;0.000;0.000;-3.600;σ_eqv,Mises,+;1.548;1.548;1.380;0.085;
1;34;1.000;0.500;-3.600;σ_eqv,Mises,+;0.104;0.085;0.104;0.024;
1;249;0.000;4.000;-3.600;σ_eqv,Mises,-;1.544;1.544;1.383;0.082;
1;3;1.000;0.000;-3.600;σ_eqv,Mises,-;0.103;0.097;0.103;0.028;
1;279;15.000;4.000;-3.600;σ_eqv,Mises,m;1.409;1.409;1.230;0.091;
1;154;14.500;2.000;-3.600;σ_eqv,Mises,m;0.295;0.293;0.295;0.001;
Total;;;;;;1.548;1.548;1.383;0.091;
1;;;;;;0.103;0.085;0.103;0.001;
;;;;;;;;;;
;Total max/min values with corresponding values;;;;;;;;;
1;1;0.000;0.000;-3.600;σ_eqv,Mises,Max;1.548;1.548;1.380;0.085;
1;3;1.000;0.000;-3.600;σ_eqv,Mises,Max;0.103;0.097;0.103;0.028;
1;1;0.000;0.000;-3.600;σ_eqv,Mises,+;1.548;1.548;1.380;0.085;
1;34;1.000;0.500;-3.600;σ_eqv,Mises,+;0.104;0.085;0.104;0.024;
1;249;0.000;4.000;-3.600;σ_eqv,Mises,-;1.544;1.544;1.383;0.082;
1;3;1.000;0.000;-3.600;σ_eqv,Mises,-;0.103;0.097;0.103;0.028;
1;279;15.000;4.000;-3.600;σ_eqv,Mises,m;1.409;1.409;1.230;0.091;
1;154;14.500;2.000;-3.600;σ_eqv,Mises,m;0.295;0.293;0.295;0.001;
;;;;;;;;;;
Total;;;;;;1.548;1.548;1.383;0.091;
max/min;;;;;;0.103;0.085;0.103;0.001;
