Surface No.;Grid;Grid Point Coordinates [m];;;;Principal Total Strains [‰];;;;;;
;Point No.;X;Y;Z;;ε_1,+;ε_2,+;α_+ [deg];ε_1,-;ε_2,-;α_- [deg];Surface Comment
1;232;7.000;3.500;-3.600;;0.01;-0.04;-88.50;0.06;-0.02;0.43;
1;233;7.500;3.500;-3.600;;0.01;-0.04;88.05;0.05;-0.02;-1.60;
1;234;8.000;3.500;-3.600;;0.01;-0.04;85.27;0.06;-0.02;-3.25;
1;235;8.500;3.500;-3.600;;0.01;-0.05;84.55;0.07;-0.02;-3.67;
1;236;9.000;3.500;-3.600;;0.01;-0.08;85.18;0.09;-0.01;-3.74;
1;237;9.500;3.500;-3.600;;0.01;-0.07;-87.93;0.08;-0.02;2.13;
1;238;10.000;3.500;-3.600;;0.01;-0.05;-86.07;0.06;-0.02;3.83;
1;239;10.500;3.500;-3.600;;0.01;-0.04;-86.81;0.05;-0.01;3.56;
1;240;11.000;3.500;-3.600;;0.01;-0.03;87.11;0.04;-0.01;0.41;
1;241;11.500;3.500;-3.600;;0.01;-0.02;78.75;0.03;-0.01;-4.69;
1;242;12.000;3.500;-3.600;;0.02;-0.07;73.25;0.07;-0.02;-13.18;
1;243;12.500;3.500;-3.600;;0.01;-0.06;-86.51;0.07;-0.02;5.55;
1;244;13.000;3.500;-3.600;;0.01;-0.03;-77.54;0.04;-0.02;14.10;
1;245;13.500;3.500;-3.600;;0.01;-0.01;-59.45;0.02;-0.02;26.23;
1;246;14.000;3.500;-3.600;;0.02;0.00;-13.93;0.01;-0.02;46.74;
1;247;14.500;3.500;-3.600;;0.03;0.00;8.97;0.00;-0.03;75.89;
1;248;15.000;3.500;-3.600;;0.05;0.00;23.09;-0.01;-0.04;-75.80;
1;249;0.000;4.000;-3.600;;0.08;-0.02;-20.43;0.02;-0.01;64.24;
1;250;0.500;4.000;-3.600;;0.05;-0.01;-9.32;0.00;-0.01;80.42;
1;251;1.000;4.000;-3.600;;0.02;0.00;-2.38;0.00;0.00;8.71;
1;252;1.500;4.000;-3.600;;0.00;0.00;16.23;0.01;0.00;-3.96;
1;253;2.000;4.000;-3.600;;0.01;-0.02;82.86;0.03;-0.01;-4.27;
1;254;2.500;4.000;-3.600;;0.01;-0.06;-88.54;0.07;-0.02;0.48;
1;255;3.000;4.000;-3.600;;0.04;-0.08;-46.09;0.08;-0.02;42.94;
1;256;3.500;4.000;-3.600;;0.02;0.00;-7.38;0.00;0.00;4.19;
1;257;4.000;4.000;-3.600;;0.00;-0.01;72.17;0.02;-0.01;-7.04;
1;258;4.500;4.000;-3.600;;0.01;-0.02;77.58;0.04;-0.01;-8.18;
1;259;5.000;4.000;-3.600;;0.01;-0.04;80.52;0.05;-0.01;-7.61;
1;260;5.500;4.000;-3.600;;0.02;-0.08;86.41;0.09;-0.02;-3.52;
1;261;6.000;4.000;-3.600;;0.00;-0.09;-77.75;0.10;0.00;6.91;
1;262;6.500;4.000;-3.600;;0.01;-0.04;-87.12;0.06;-0.01;1.00;
1;263;7.000;4.000;-3.600;;0.01;-0.04;-89.08;0.05;-0.01;0.70;
