Surface No.;Grid;Grid Point Coordinates [m];;;;Principal Stresses [N/mm^2 ];;;;;;;;;;
;Point No.;X;Y;Z;;σ_1,+;σ_2,+;α_+ [deg];σ_1,-;σ_2,-;α_- [deg];σ_1,m;σ_2,m;α_m [deg];τ_max;Surface Comment
1;191;2.000;3.000;-3.600;;0.275;-0.539;-83.81;0.820;-0.263;1.26;0.152;-0.005;-11.92;0.090;
1;192;2.500;3.000;-3.600;;0.279;-0.903;-82.28;1.200;-0.265;4.21;0.159;-0.004;-8.94;0.115;
1;193;3.000;3.000;-3.600;;0.399;-0.806;-74.91;1.083;-0.303;11.12;0.157;0.030;-9.06;0.133;
1;194;3.500;3.000;-3.600;;0.385;-0.380;-81.18;0.684;-0.297;3.36;0.166;0.030;-12.82;0.049;
1;195;4.000;3.000;-3.600;;0.311;-0.504;87.50;0.847;-0.278;-4.46;0.174;0.015;-9.50;0.053;
1;196;4.500;3.000;-3.600;;0.307;-0.825;82.35;1.185;-0.291;-7.39;0.180;0.008;-6.51;0.080;
1;197;5.000;3.000;-3.600;;0.295;-1.242;82.53;1.608;-0.287;-6.82;0.184;0.004;-4.04;0.099;
1;198;5.500;3.000;-3.600;;0.267;-1.657;85.88;2.028;-0.260;-3.74;0.186;0.004;-1.76;0.117;
1;199;6.000;3.000;-3.600;;0.270;-1.799;-88.93;2.171;-0.231;0.84;0.186;0.019;-0.55;0.149;
1;200;6.500;3.000;-3.600;;0.304;-1.436;-87.98;1.814;-0.262;1.19;0.190;0.020;-3.07;0.038;
1;201;7.000;3.000;-3.600;;0.269;-1.289;-89.21;1.679;-0.245;0.23;0.195;0.012;-2.15;0.020;
1;202;7.500;3.000;-3.600;;0.262;-1.262;88.17;1.658;-0.243;-1.59;0.198;0.010;-0.62;0.014;
1;203;8.000;3.000;-3.600;;0.268;-1.367;85.99;1.756;-0.244;-3.10;0.196;0.011;0.92;0.035;
1;204;8.500;3.000;-3.600;;0.291;-1.576;85.74;1.954;-0.252;-3.31;0.191;0.018;1.88;0.053;
1;205;9.000;3.000;-3.600;;0.251;-1.925;87.41;2.299;-0.214;-2.24;0.187;0.018;0.01;0.156;
1;206;9.500;3.000;-3.600;;0.249;-1.761;-88.78;2.134;-0.239;1.19;0.187;0.005;1.00;0.100;
1;207;10.000;3.000;-3.600;;0.264;-1.407;-86.88;1.776;-0.255;3.09;0.184;0.004;2.98;0.082;
1;208;10.500;3.000;-3.600;;0.278;-1.085;-88.09;1.445;-0.261;2.54;0.181;0.008;5.04;0.060;
1;209;11.000;3.000;-3.600;;0.303;-0.891;87.88;1.229;-0.267;-0.17;0.172;0.015;7.30;0.029;
1;210;11.500;3.000;-3.600;;0.386;-0.889;83.36;1.196;-0.311;-4.05;0.162;0.029;8.88;0.023;
