Surface No.;Grid;Grid Point Coordinates [m];;;;Moments [kNm/m];;;;Shear Forces [kN/m];;Axial Forces [kN/m];;;;
;Point No.;X;Y;Z;;m_1;m_2;α_b [deg];m_T,max,b;v_max,b;β_b [deg];n_1;n_2;α_m [deg];v_max,m;Surface Comment
1;202;7.500;3.000;-3.600;;20.487;9.541;0.29;5.473;5.516;-82.42;-1.089;-12.175;-89.99;5.543;
1;203;8.000;3.000;-3.600;;19.406;9.489;8.37;4.959;7.523;-120.43;-1.242;-11.918;-86.91;5.338;
1;204;8.500;3.000;-3.600;;15.890;9.817;13.41;3.036;11.885;-116.10;-2.108;-11.465;-84.50;4.679;
1;205;9.000;3.000;-3.600;;12.538;10.410;-8.22;1.064;20.155;-89.87;-2.269;-11.003;-88.91;4.367;
1;206;9.500;3.000;-3.600;;16.750;10.004;-10.85;3.373;9.024;-65.55;-0.652;-11.028;-87.73;5.188;
1;207;10.000;3.000;-3.600;;18.991;9.550;-4.84;4.720;5.762;-77.86;-0.441;-10.930;-83.87;5.245;
1;208;10.500;3.000;-3.600;;18.666;9.283;4.43;4.691;6.445;-124.52;-0.685;-10.656;-79.84;4.985;
1;209;11.000;3.000;-3.600;;15.478;8.712;16.75;3.383;10.774;-136.56;-1.210;-9.892;-74.88;4.341;
1;210;11.500;3.000;-3.600;;10.413;8.386;46.49;1.013;15.925;-119.26;-2.620;-8.931;-69.00;3.156;
1;211;12.000;3.000;-3.600;;10.107;7.159;-81.28;1.474;20.665;-89.74;-1.980;-7.446;-83.34;2.733;
1;212;12.500;3.000;-3.600;;13.544;9.185;-21.35;2.179;4.638;-68.16;1.208;-7.352;-77.10;4.280;
